,chembl_id,target_id,assay_type,assay_organism,raw_size,cleaned_size,cleaning_failed,cleaning_size_delta,num_pos,percentage_pos,confidence,tid,component_synonym,type_synonym,protein_class_desc,pref_name,EC_super_class,EC_super_class_name,protein_family,protein_super_family,EC_name,reliable_target_EC,reliable_target_protein_desc,reliable_target_EC_super,reliable_target_protein_super
27,CHEMBL615400,104744,B,,37,37,False,0.0,18.0,48.64864864864865,4,,,,,,,,,,,,,,
28,CHEMBL615782,104744,B,,60,60,False,0.0,24.0,40.0,4,,,,,,,,,,,,,,
29,CHEMBL616480,104686,B,,46,46,False,0.0,45.0,97.82608695652172,4,,,,,,,,,,,,,,
30,CHEMBL616980,104686,B,,45,45,False,0.0,45.0,100.0,4,,,,,,,,,,,,,,
31,CHEMBL616981,104686,B,,45,45,False,0.0,43.0,95.55555555555556,4,,,,,,,,,,,,,,
32,CHEMBL617013,104686,B,,51,51,False,0.0,46.0,90.19607843137256,4,,,,,,,,,,,,,,
33,CHEMBL617016,104686,B,,40,40,False,0.0,40.0,100.0,4,,,,,,,,,,,,,,
34,CHEMBL617147,104784,B,Cavia porcellus,33,33,False,0.0,32.0,96.96969696969695,4,,,,,,,,,,,,,,
35,CHEMBL617210,104826,B,,104,104,False,0.0,98.0,94.23076923076924,4,,,,,,,,,,,,,,
36,CHEMBL617219,104826,B,,36,36,False,0.0,35.0,97.22222222222224,4,,,,,,,,,,,,,,
37,CHEMBL617242,104686,B,,51,51,False,0.0,51.0,100.0,4,,,,,,,,,,,,,,
38,CHEMBL617246,104686,B,,29,29,False,0.0,29.0,100.0,4,,,,,,,,,,,,,,
39,CHEMBL617247,104686,B,,61,61,False,0.0,59.0,96.72131147540983,4,,,,,,,,,,,,,,
40,CHEMBL617444,104686,B,,42,42,False,0.0,37.0,88.09523809523809,4,,,,,,,,,,,,,,
41,CHEMBL617547,104686,B,,33,33,False,0.0,33.0,100.0,4,,,,,,,,,,,,,,
42,CHEMBL617820,104714,B,Cavia porcellus,34,34,False,0.0,34.0,100.0,4,,,,,,,,,,,,,,
43,CHEMBL618129,104714,B,,60,60,False,0.0,30.0,50.0,4,,,,,,,,,,,,,,
44,CHEMBL618141,104714,B,,35,35,False,0.0,30.0,85.71428571428571,4,,,,,,,,,,,,,,
45,CHEMBL619177,104705,B,,42,42,False,0.0,20.0,47.61904761904761,4,,,,,,,,,,,,,,
46,CHEMBL640540,104680,B,,37,37,False,0.0,37.0,100.0,4,,,,,,,,,,,,,,
47,CHEMBL641150,104680,B,,62,62,False,0.0,62.0,100.0,4,,,,,,,,,,,,,,
48,CHEMBL641156,104680,B,,52,52,False,0.0,51.0,98.07692307692308,4,,,,,,,,,,,,,,
49,CHEMBL641405,104680,B,,88,88,False,0.0,7.0,7.954545454545454,4,,,,,,,,,,,,,,
50,CHEMBL641537,104680,F,,51,51,False,0.0,48.0,94.11764705882356,4,,,,,,,,,,,,,,
51,CHEMBL641989,104729,B,Cavia porcellus,40,40,False,0.0,5.0,12.5,4,,,,,,,,,,,,,,
52,CHEMBL642094,104304,B,,63,63,False,0.0,30.0,47.61904761904761,4,,,,,,,,,,,,,,
53,CHEMBL642101,104304,B,,46,46,False,0.0,46.0,100.0,4,,,,,,,,,,,,,,
54,CHEMBL642334,104729,B,,38,38,False,0.0,19.0,50.0,4,,,,,,,,,,,,,,
55,CHEMBL642867,104304,B,,31,31,False,0.0,31.0,100.0,4,,,,,,,,,,,,,,
56,CHEMBL642904,104723,B,Oryctolagus cuniculus,40,40,False,0.0,35.0,87.5,4,,,,,,,,,,,,,,
57,CHEMBL642910,104693,F,,36,36,False,0.0,17.0,47.22222222222222,4,,,,,,,,,,,,,,
58,CHEMBL643181,104699,B,,47,47,False,0.0,46.0,97.87234042553192,4,,,,,,,,,,,,,,
59,CHEMBL643182,104699,B,,58,58,False,0.0,29.0,50.0,4,,,,,,,,,,,,,,
60,CHEMBL643446,104304,B,,43,43,False,0.0,43.0,100.0,4,,,,,,,,,,,,,,
61,CHEMBL643628,104304,B,,30,30,False,0.0,29.0,96.66666666666669,4,,,,,,,,,,,,,,
62,CHEMBL643679,104680,B,,33,33,False,0.0,32.0,96.96969696969695,4,,,,,,,,,,,,,,
63,CHEMBL643682,104680,B,,37,37,False,0.0,17.0,45.94594594594594,4,,,,,,,,,,,,,,
64,CHEMBL643713,104680,B,,35,35,False,0.0,35.0,100.0,4,,,,,,,,,,,,,,
65,CHEMBL643729,104699,B,,41,41,False,0.0,39.0,95.1219512195122,4,,,,,,,,,,,,,,
66,CHEMBL644173,104687,B,,43,37,False,6.0,15.0,40.54054054054054,4,,,,,,,,,,,,,,
67,CHEMBL644174,104687,B,,34,34,False,0.0,33.0,97.05882352941175,4,,,,,,,,,,,,,,
68,CHEMBL644195,104825,B,,36,36,False,0.0,30.0,83.33333333333333,4,,,,,,,,,,,,,,
69,CHEMBL644566,104304,F,,39,39,False,0.0,39.0,100.0,4,,,,,,,,,,,,,,
70,CHEMBL644773,104699,B,,37,37,False,0.0,37.0,100.0,4,,,,,,,,,,,,,,
71,CHEMBL644959,104304,B,,39,39,False,0.0,34.0,87.1794871794872,4,,,,,,,,,,,,,,
72,CHEMBL645253,104728,B,Oryctolagus cuniculus,100,100,False,0.0,100.0,100.0,4,,,,,,,,,,,,,,
73,CHEMBL645291,104680,B,,44,44,False,0.0,44.0,100.0,4,,,,,,,,,,,,,,
74,CHEMBL645326,104699,B,,44,44,False,0.0,41.0,93.1818181818182,4,,,,,,,,,,,,,,
75,CHEMBL645393,104304,B,,60,60,False,0.0,60.0,100.0,4,,,,,,,,,,,,,,
76,CHEMBL645451,104699,B,,39,39,False,0.0,19.0,48.71794871794872,4,,,,,,,,,,,,,,
77,CHEMBL645453,104699,B,,47,47,False,0.0,41.0,87.23404255319149,4,,,,,,,,,,,,,,
78,CHEMBL645561,104304,B,,45,45,False,0.0,45.0,100.0,4,,,,,,,,,,,,,,
79,CHEMBL645694,104304,B,,33,33,False,0.0,14.0,42.42424242424242,4,,,,,,,,,,,,,,
80,CHEMBL645698,104304,B,,34,34,False,0.0,34.0,100.0,4,,,,,,,,,,,,,,
81,CHEMBL646320,104699,B,,37,37,False,0.0,18.0,48.64864864864865,4,,,,,,,,,,,,,,
82,CHEMBL646321,104699,B,,33,33,False,0.0,16.0,48.48484848484848,4,,,,,,,,,,,,,,
83,CHEMBL646359,104699,B,,45,45,False,0.0,43.0,95.55555555555556,4,,,,,,,,,,,,,,
84,CHEMBL646483,104699,B,,44,44,False,0.0,22.0,50.0,4,,,,,,,,,,,,,,
85,CHEMBL646573,104304,B,,35,35,False,0.0,34.0,97.14285714285714,4,,,,,,,,,,,,,,
86,CHEMBL646574,104304,B,,33,33,False,0.0,29.0,87.87878787878788,4,,,,,,,,,,,,,,
87,CHEMBL647023,104304,B,,38,38,False,0.0,38.0,100.0,4,,,,,,,,,,,,,,
88,CHEMBL647025,104722,B,,35,35,False,0.0,35.0,100.0,4,,,,,,,,,,,,,,
89,CHEMBL647616,104304,B,,34,34,False,0.0,33.0,97.05882352941175,4,,,,,,,,,,,,,,
90,CHEMBL647669,104700,B,Cavia porcellus,89,89,False,0.0,89.0,100.0,4,,,,,,,,,,,,,,
91,CHEMBL647671,104700,B,Cavia porcellus,67,67,False,0.0,66.0,98.50746268656717,4,,,,,,,,,,,,,,
92,CHEMBL647791,104722,B,,53,53,False,0.0,53.0,100.0,4,,,,,,,,,,,,,,
93,CHEMBL647802,104722,B,,35,35,False,0.0,35.0,100.0,4,,,,,,,,,,,,,,
94,CHEMBL647885,104722,B,,50,50,False,0.0,50.0,100.0,4,,,,,,,,,,,,,,
95,CHEMBL648030,104304,B,,50,50,False,0.0,46.0,92.0,4,,,,,,,,,,,,,,
96,CHEMBL648040,104304,B,,51,51,False,0.0,51.0,100.0,4,,,,,,,,,,,,,,
97,CHEMBL648047,104304,B,,54,54,False,0.0,54.0,100.0,4,,,,,,,,,,,,,,
98,CHEMBL648138,104301,B,,48,48,False,0.0,44.0,91.66666666666669,4,,,,,,,,,,,,,,
99,CHEMBL648139,104301,B,,48,48,False,0.0,48.0,100.0,4,,,,,,,,,,,,,,
100,CHEMBL648726,104680,B,,50,50,False,0.0,50.0,100.0,4,,,,,,,,,,,,,,
101,CHEMBL648761,104694,B,,63,63,False,0.0,63.0,100.0,4,,,,,,,,,,,,,,
102,CHEMBL648762,104722,B,,42,42,False,0.0,38.0,90.4761904761905,4,,,,,,,,,,,,,,
103,CHEMBL648802,104699,B,,72,72,False,0.0,69.0,95.83333333333331,4,,,,,,,,,,,,,,
104,CHEMBL648957,104694,B,,36,36,False,0.0,18.0,50.0,4,,,,,,,,,,,,,,
105,CHEMBL649117,104699,B,,44,44,False,0.0,22.0,50.0,4,,,,,,,,,,,,,,
106,CHEMBL649120,104699,B,,35,35,False,0.0,27.0,77.14285714285714,4,,,,,,,,,,,,,,
107,CHEMBL649122,104699,B,,49,49,False,0.0,24.0,48.97959183673469,4,,,,,,,,,,,,,,
108,CHEMBL649123,104699,B,,49,49,False,0.0,4.0,8.16326530612245,4,,,,,,,,,,,,,,
109,CHEMBL649126,104699,B,,34,34,False,0.0,16.0,47.058823529411775,4,,,,,,,,,,,,,,
110,CHEMBL649225,104680,B,,35,35,False,0.0,35.0,100.0,4,,,,,,,,,,,,,,
111,CHEMBL649303,104722,B,,82,82,False,0.0,82.0,100.0,4,,,,,,,,,,,,,,
112,CHEMBL649334,104304,B,,32,32,False,0.0,32.0,100.0,4,,,,,,,,,,,,,,
113,CHEMBL649340,104304,B,,68,68,False,0.0,26.0,38.23529411764706,4,,,,,,,,,,,,,,
114,CHEMBL649341,104304,B,,36,36,False,0.0,36.0,100.0,4,,,,,,,,,,,,,,
115,CHEMBL649429,104304,B,,37,37,False,0.0,37.0,100.0,4,,,,,,,,,,,,,,
116,CHEMBL649493,104728,B,Oryctolagus cuniculus,37,37,False,0.0,37.0,100.0,4,,,,,,,,,,,,,,
117,CHEMBL649502,104722,B,,44,44,False,0.0,44.0,100.0,4,,,,,,,,,,,,,,
118,CHEMBL649631,104680,B,,29,29,False,0.0,14.0,48.27586206896552,4,,,,,,,,,,,,,,
119,CHEMBL649873,104699,F,,23,23,False,0.0,16.0,69.56521739130434,4,,,,,,,,,,,,,,
120,CHEMBL650073,104688,B,,39,39,False,0.0,37.0,94.87179487179488,4,,,,,,,,,,,,,,
121,CHEMBL650075,104688,B,,43,43,False,0.0,40.0,93.02325581395348,4,,,,,,,,,,,,,,
122,CHEMBL650082,104688,B,,49,49,False,0.0,0.0,0.0,4,,,,,,,,,,,,,,
123,CHEMBL650164,104694,B,,96,96,False,0.0,88.0,91.66666666666669,4,,,,,,,,,,,,,,
124,CHEMBL650183,104301,B,,46,46,False,0.0,43.0,93.47826086956522,4,,,,,,,,,,,,,,
125,CHEMBL650289,104301,B,,43,43,False,0.0,39.0,90.69767441860463,4,,,,,,,,,,,,,,
126,CHEMBL650792,104700,B,Cavia porcellus,52,52,False,0.0,51.0,98.07692307692308,4,,,,,,,,,,,,,,
127,CHEMBL651000,104301,B,,35,35,False,0.0,15.0,42.85714285714285,4,,,,,,,,,,,,,,
128,CHEMBL651552,104694,B,,65,65,False,0.0,60.0,92.30769230769228,4,,,,,,,,,,,,,,
129,CHEMBL651803,104700,B,Cavia porcellus,52,52,False,0.0,47.0,90.3846153846154,4,,,,,,,,,,,,,,
130,CHEMBL651949,104301,B,,38,38,False,0.0,38.0,100.0,4,,,,,,,,,,,,,,
131,CHEMBL652255,104700,B,,39,39,False,0.0,19.0,48.71794871794872,4,,,,,,,,,,,,,,
132,CHEMBL652348,104722,B,,38,38,False,0.0,38.0,100.0,4,,,,,,,,,,,,,,
133,CHEMBL652360,104301,B,,57,57,False,0.0,27.0,47.368421052631575,4,,,,,,,,,,,,,,
134,CHEMBL652372,104301,B,,80,80,False,0.0,80.0,100.0,4,,,,,,,,,,,,,,
135,CHEMBL652559,104301,B,,40,40,False,0.0,15.0,37.5,4,,,,,,,,,,,,,,
136,CHEMBL652562,104301,B,,45,45,False,0.0,22.0,48.88888888888889,4,,,,,,,,,,,,,,
137,CHEMBL652658,104689,B,,40,40,False,0.0,40.0,100.0,4,,,,,,,,,,,,,,
138,CHEMBL653127,104694,B,,69,69,False,0.0,34.0,49.27536231884058,4,,,,,,,,,,,,,,
139,CHEMBL653614,104697,B,,48,48,False,0.0,24.0,50.0,4,104697.0,2.7.11.24,EC_NUMBER,enzyme  kinase  protein kinase  cmgc  mapk  p38,CMGC protein kinase p38 subfamily,2,transferase,kinase_cmgc,kinase,Mitogen-activated protein kinase,True,True,True,True
140,CHEMBL656449,104700,F,Felis catus,40,40,False,0.0,1.0,2.5,4,,,,,,,,,,,,,,
141,CHEMBL656450,104700,F,Felis catus,43,43,False,0.0,1.0,2.3255813953488373,4,,,,,,,,,,,,,,
142,CHEMBL659628,104769,B,Cavia porcellus,130,130,False,0.0,65.0,50.0,4,,,,,,,,,,,,,,
143,CHEMBL662784,104792,B,Clostridium histolyticum,64,64,False,0.0,43.0,67.1875,4,104792.0,"('3.4.24.24', '3.4.24.35', '3.4.24.34', '3.4.24.-', '3.4.24.7')",EC_NUMBER,enzyme  protease  metallo  mam  m10a,Metallo protease M10A subfamily,3,hydrolase,protease_metallo,protease,"('Gelatinase A', 'Gelatinase B', 'Neutrophil collagenase', 'unknown EC number', 'Interstitial collagenase')",False,True,True,True
144,CHEMBL662785,104792,B,Clostridium histolyticum,68,68,False,0.0,68.0,100.0,4,104792.0,"('3.4.24.24', '3.4.24.35', '3.4.24.34', '3.4.24.-', '3.4.24.7')",EC_NUMBER,enzyme  protease  metallo  mam  m10a,Metallo protease M10A subfamily,3,hydrolase,protease_metallo,protease,"('Gelatinase A', 'Gelatinase B', 'Neutrophil collagenase', 'unknown EC number', 'Interstitial collagenase')",False,True,True,True
145,CHEMBL663471,104866,B,,62,62,False,0.0,29.0,46.774193548387096,4,,,,,,,,,,,,,,
146,CHEMBL663971,104726,B,Cavia porcellus,36,36,False,0.0,36.0,100.0,4,,,,,,,,,,,,,,
147,CHEMBL664572,104761,B,,89,89,False,0.0,37.0,41.57303370786517,4,,,,,,,,,,,,,,
148,CHEMBL664841,104726,B,Cavia porcellus,48,48,False,0.0,42.0,87.5,4,,,,,,,,,,,,,,
149,CHEMBL668904,104727,B,,142,142,False,0.0,71.0,50.0,4,104727.0,5.6.2.2,EC_NUMBER,enzyme  isomerase,Isomerase,5,isomerase,isomerase,isomerase,DNA topoisomerase (ATP-hydrolyzing),True,True,True,True
150,CHEMBL669726,104727,B,,34,34,False,0.0,3.0,8.823529411764708,4,104727.0,5.6.2.2,EC_NUMBER,enzyme  isomerase,Isomerase,5,isomerase,isomerase,isomerase,DNA topoisomerase (ATP-hydrolyzing),True,True,True,True
151,CHEMBL673004,104684,B,,29,29,False,0.0,29.0,100.0,4,,,,,,,,,,,,,,
152,CHEMBL675840,104684,B,,36,36,False,0.0,36.0,100.0,4,,,,,,,,,,,,,,
153,CHEMBL675868,104684,B,,34,34,False,0.0,30.0,88.23529411764706,4,,,,,,,,,,,,,,
154,CHEMBL677877,104942,B,,51,51,False,0.0,25.0,49.01960784313725,4,104942.0,2.7.10.1,EC_NUMBER,enzyme  kinase  protein kinase  tk  egfr,Tyrosine protein kinase EGFR family,2,transferase,kinase_tk,kinase,Receptor protein-tyrosine kinase,True,True,True,True
155,CHEMBL677943,104301,B,,36,36,False,0.0,36.0,100.0,4,,,,,,,,,,,,,,
156,CHEMBL678563,104696,B,,49,49,False,0.0,13.0,26.530612244897963,4,,,,,,,,,,,,,,
157,CHEMBL678972,104696,B,,33,33,False,0.0,1.0,3.0303030303030303,4,,,,,,,,,,,,,,
158,CHEMBL680656,104301,B,,44,44,False,0.0,22.0,50.0,4,,,,,,,,,,,,,,
159,CHEMBL680837,104301,B,,44,44,False,0.0,44.0,100.0,4,,,,,,,,,,,,,,
160,CHEMBL680838,104301,B,,44,44,False,0.0,44.0,100.0,4,,,,,,,,,,,,,,
161,CHEMBL682130,104301,B,,44,44,False,0.0,44.0,100.0,4,,,,,,,,,,,,,,
162,CHEMBL682131,104301,B,,44,44,False,0.0,44.0,100.0,4,,,,,,,,,,,,,,
163,CHEMBL682136,104301,B,,50,50,False,0.0,49.0,98.0,4,,,,,,,,,,,,,,
164,CHEMBL683003,104772,B,Sus scrofa,38,38,False,0.0,32.0,84.21052631578948,4,104772.0,"('2.7.11.1', '2.7.11.26')",EC_NUMBER,enzyme  kinase  protein kinase  cmgc  gsk,CMGC protein kinase GSK family,2,transferase,kinase_cmgc,kinase,"('Non-specific serine/threonine protein kinase', '[Tau protein] kinase')",False,True,True,True
165,CHEMBL687342,104726,F,Cavia porcellus,83,83,False,0.0,80.0,96.3855421686747,4,,,,,,,,,,,,,,
166,CHEMBL692204,104737,F,Cavia porcellus,38,38,False,0.0,15.0,39.47368421052632,4,,,,,,,,,,,,,,
167,CHEMBL696550,104846,B,,36,36,False,0.0,18.0,50.0,4,,,,,,,,,,,,,,
168,CHEMBL697889,104687,B,,52,52,False,0.0,26.0,50.0,4,,,,,,,,,,,,,,
169,CHEMBL699620,104745,F,,35,35,False,0.0,35.0,100.0,4,,,,,,,,,,,,,,
170,CHEMBL699623,104701,B,,42,42,False,0.0,21.0,50.0,4,,,,,,,,,,,,,,
171,CHEMBL700863,104745,F,,31,31,False,0.0,31.0,100.0,4,,,,,,,,,,,,,,
172,CHEMBL701213,104737,F,Cavia porcellus,67,67,False,0.0,54.0,80.59701492537313,4,,,,,,,,,,,,,,
173,CHEMBL701214,104737,F,Cavia porcellus,48,48,False,0.0,46.0,95.83333333333331,4,,,,,,,,,,,,,,
174,CHEMBL701216,104737,F,Sus scrofa,35,35,False,0.0,31.0,88.57142857142857,4,,,,,,,,,,,,,,
175,CHEMBL701305,104687,F,,58,58,False,0.0,2.0,3.4482758620689653,4,,,,,,,,,,,,,,
176,CHEMBL701309,104687,F,,58,58,False,0.0,1.0,1.7241379310344829,4,,,,,,,,,,,,,,
177,CHEMBL702541,104687,B,,33,33,False,0.0,32.0,96.96969696969695,4,,,,,,,,,,,,,,
178,CHEMBL702547,104687,B,,53,53,False,0.0,26.0,49.0566037735849,4,,,,,,,,,,,,,,
179,CHEMBL704173,104761,B,,35,35,False,0.0,35.0,100.0,4,,,,,,,,,,,,,,
180,CHEMBL704369,104745,B,Cavia porcellus,36,36,False,0.0,36.0,100.0,4,,,,,,,,,,,,,,
181,CHEMBL704371,104745,B,Cavia porcellus,37,37,False,0.0,18.0,48.64864864864865,4,,,,,,,,,,,,,,
182,CHEMBL704379,104745,B,Cavia porcellus,48,48,False,0.0,48.0,100.0,4,,,,,,,,,,,,,,
183,CHEMBL704423,104745,B,,13,13,False,0.0,6.0,46.15384615384615,4,,,,,,,,,,,,,,
184,CHEMBL705080,104745,F,,33,33,False,0.0,16.0,48.48484848484848,4,,,,,,,,,,,,,,
185,CHEMBL708494,104682,F,,73,73,False,0.0,73.0,100.0,4,,,,,,,,,,,,,,
186,CHEMBL709172,104745,B,,22,22,False,0.0,22.0,100.0,4,,,,,,,,,,,,,,
187,CHEMBL709311,104745,B,,33,33,False,0.0,30.0,90.9090909090909,4,,,,,,,,,,,,,,
188,CHEMBL709860,104745,B,,48,48,False,0.0,48.0,100.0,4,,,,,,,,,,,,,,
189,CHEMBL713113,104733,B,,35,35,False,0.0,35.0,100.0,4,,,,,,,,,,,,,,
190,CHEMBL714704,104733,B,Ovis aries,37,37,False,0.0,35.0,94.5945945945946,4,,,,,,,,,,,,,,
191,CHEMBL714909,104739,B,,48,48,False,0.0,48.0,100.0,4,,,,,,,,,,,,,,
192,CHEMBL714910,104739,B,,40,40,False,0.0,40.0,100.0,4,,,,,,,,,,,,,,
193,CHEMBL715564,104739,B,,61,61,False,0.0,55.0,90.1639344262295,4,,,,,,,,,,,,,,
194,CHEMBL715567,104739,B,,50,50,False,0.0,40.0,80.0,4,,,,,,,,,,,,,,
195,CHEMBL716220,104810,F,,61,61,False,0.0,30.0,49.18032786885247,4,,,,,,,,,,,,,,
196,CHEMBL716221,104810,F,,61,61,False,0.0,30.0,49.18032786885247,4,,,,,,,,,,,,,,
197,CHEMBL732095,104697,B,,40,40,False,0.0,19.0,47.5,4,104697.0,2.7.11.24,EC_NUMBER,enzyme  kinase  protein kinase  cmgc  mapk  p38,CMGC protein kinase p38 subfamily,2,transferase,kinase_cmgc,kinase,Mitogen-activated protein kinase,True,True,True,True
198,CHEMBL732620,104697,B,,36,36,False,0.0,36.0,100.0,4,104697.0,2.7.11.24,EC_NUMBER,enzyme  kinase  protein kinase  cmgc  mapk  p38,CMGC protein kinase p38 subfamily,2,transferase,kinase_cmgc,kinase,Mitogen-activated protein kinase,True,True,True,True
199,CHEMBL732887,104697,B,,33,33,False,0.0,16.0,48.48484848484848,4,104697.0,2.7.11.24,EC_NUMBER,enzyme  kinase  protein kinase  cmgc  mapk  p38,CMGC protein kinase p38 subfamily,2,transferase,kinase_cmgc,kinase,Mitogen-activated protein kinase,True,True,True,True
200,CHEMBL744072,104302,B,,53,53,False,0.0,22.0,41.50943396226416,4,,,,,,,,,,,,,,
201,CHEMBL744073,104302,B,,85,85,False,0.0,65.0,76.47058823529412,4,,,,,,,,,,,,,,
202,CHEMBL744130,104303,B,,36,36,False,0.0,36.0,100.0,4,,,,,,,,,,,,,,
203,CHEMBL744131,104303,B,,36,36,False,0.0,17.0,47.22222222222222,4,,,,,,,,,,,,,,
204,CHEMBL744136,104303,B,,42,42,False,0.0,21.0,50.0,4,,,,,,,,,,,,,,
205,CHEMBL744138,104303,B,,42,42,False,0.0,21.0,50.0,4,,,,,,,,,,,,,,
206,CHEMBL744915,104303,B,,26,26,False,0.0,26.0,100.0,4,,,,,,,,,,,,,,
207,CHEMBL746426,104303,B,,28,28,False,0.0,0.0,0.0,4,,,,,,,,,,,,,,
208,CHEMBL746427,104303,B,,28,28,False,0.0,0.0,0.0,4,,,,,,,,,,,,,,
