chembl_id,target_id,confidence,component_synonym,type_synonym,protein_class_desc,pref_name,EC_super_class,EC_super_class_name,protein_family,protein_super_family,EC_name,reliable_target_EC,reliable_target_protein_desc,reliable_target_EC_super,reliable_target_protein_super
CHEMBL1613917,104678,5,,,,,,,,,,,,,
CHEMBL1613929,104747,5,2.3.1.48,EC_NUMBER,epigenetic regulator  writer  hat  src,SRC family,2,transferase,epigenetic_regulator,epigenetic,Histone acetyltransferase,True,True,True,True
CHEMBL1613948,104750,5,,,,,,,,,,,,,
CHEMBL1613988,104677,5,2.1.1.354,EC_NUMBER,"('epigenetic regulator  writer  pmt', 'epigenetic regulator  reader  brd', 'epigenetic regulator  reader  phd')","('Protein methyltransferase', 'Bromodomain', 'Plant homeodomain')",2,transferase,epigenetic_regulator,epigenetic,[Histone H3]-lysine(4) N-trimethyltransferase,True,False,True,True
CHEMBL1614085,117128,5,,,,,,,,,,,,,
CHEMBL1614223,104678,5,,,,,,,,,,,,,
CHEMBL1614319,104677,5,2.1.1.354,EC_NUMBER,"('epigenetic regulator  writer  pmt', 'epigenetic regulator  reader  brd', 'epigenetic regulator  reader  phd')","('Protein methyltransferase', 'Bromodomain', 'Plant homeodomain')",2,transferase,epigenetic_regulator,epigenetic,[Histone H3]-lysine(4) N-trimethyltransferase,True,False,True,True
CHEMBL1614408,104856,5,,,,,,,,,,,,,
CHEMBL1614434,104748,5,,,,,,,,,,,,,
CHEMBL1614465,104856,5,,,,,,,,,,,,,
CHEMBL1663323,104775,5,2.7.11.1,EC_NUMBER,enzyme  kinase  protein kinase  other  ck2,Other protein kinase CK2 family,2,transferase,kinase_other,kinase,Non-specific serine/threonine protein kinase,True,True,True,True
CHEMBL1738081,117045,5,2.3.1.51,EC_NUMBER,enzyme  transferase,Transferase,2,transferase,transferase,transferase,1-acylglycerol-3-phosphate O-acyltransferase,True,True,True,True
CHEMBL1738090,104678,5,,,,,,,,,,,,,
CHEMBL1738098,117026,5,2.3.1.51,EC_NUMBER,enzyme  transferase,Transferase,2,transferase,transferase,transferase,1-acylglycerol-3-phosphate O-acyltransferase,True,True,True,True
CHEMBL1803857,105107,5,,,,,,,,,,,,,
CHEMBL1804239,106709,5,2.7.11.26,EC_NUMBER,"('enzyme  kinase  protein kinase  cmgc  gsk', 'unclassified')","('CMGC protein kinase GSK family', 'Unclassified protein')",2,transferase,"('kinase_cmgc', 'unclassified')","('kinase', 'unclassified')",[Tau protein] kinase,True,False,True,False
CHEMBL1825507,105507,5,,,,,,,,,,,,,
CHEMBL1912765,104681,5,"('3.5.1.98', '3.5.1.-', '3.5.1.98', '3.5.1.98', '3.5.1.98', '3.5.1.48', '3.5.1.62')",EC_NUMBER,"('epigenetic regulator  eraser  hdac  hdac class i', 'epigenetic regulator  eraser  hdac  hdac class iib', 'epigenetic regulator  eraser  hdac  hdac class iib', 'epigenetic regulator  eraser  hdac  hdac class iia', 'epigenetic regulator  eraser  hdac  hdac class iv', 'epigenetic regulator  eraser  hdac  hdac class iib', 'epigenetic regulator  eraser  hdac  hdac class iib')","('HDAC class I', 'HDAC class IIb', 'HDAC class IIb', 'HDAC class IIa', 'HDAC class IV', 'HDAC class IIb', 'HDAC class IIb')",3,hydrolase,epigenetic_regulator,epigenetic,"('Histone deacetylase', 'unknown EC number', 'Histone deacetylase', 'Histone deacetylase', 'Histone deacetylase', 'Acetylspermidine deacetylase', 'Acetylputrescine deacetylase')",False,False,True,True
CHEMBL1919325,104679,5,3.1.4.53,EC_NUMBER,"('enzyme  phosphodiesterase  pde_4  pde_4a', 'enzyme  phosphodiesterase  pde_4  pde_4d', 'enzyme  phosphodiesterase  pde_4  pde_4b', 'enzyme  phosphodiesterase  pde_4  pde_4c')","('Phosphodiesterase 4A', 'Phosphodiesterase 4D', 'Phosphodiesterase 4B', 'Phosphodiesterase 4C')",3,hydrolase,phosphodiesterase_pde_4,phosphodiesterase,"3',5'-cyclic-AMP phosphodiesterase",True,False,True,True
CHEMBL1941974,105507,5,,,,,,,,,,,,,
CHEMBL2067437,104801,5,,,,,,,,,,,,,
CHEMBL2071882,104707,5,3.1.4.17,EC_NUMBER,"('enzyme  phosphodiesterase  pde_3  pde_3a', 'enzyme  phosphodiesterase  pde_3  pde_3b')","('Phosphodiesterase 3A', 'Phosphodiesterase 3B')",3,hydrolase,phosphodiesterase_pde_3,phosphodiesterase,"3',5'-cyclic-nucleotide phosphodiesterase",True,False,True,True
CHEMBL2071883,104679,5,3.1.4.53,EC_NUMBER,"('enzyme  phosphodiesterase  pde_4  pde_4a', 'enzyme  phosphodiesterase  pde_4  pde_4d', 'enzyme  phosphodiesterase  pde_4  pde_4b', 'enzyme  phosphodiesterase  pde_4  pde_4c')","('Phosphodiesterase 4A', 'Phosphodiesterase 4D', 'Phosphodiesterase 4B', 'Phosphodiesterase 4C')",3,hydrolase,phosphodiesterase_pde_4,phosphodiesterase,"3',5'-cyclic-AMP phosphodiesterase",True,False,True,True
CHEMBL2071885,104874,5,3.1.4.35,EC_NUMBER,"('enzyme  phosphodiesterase  pde_6  pde_6h', 'enzyme  phosphodiesterase  pde_6  pde_6g', 'enzyme  phosphodiesterase  pde_6  pde_6b', 'enzyme  phosphodiesterase  pde_6  pde_6a', 'enzyme  phosphodiesterase  pde_6  pde_6c')","('Phosphodiesterase 6H', 'Phosphodiesterase 6G', 'Phosphodiesterase 6B', 'Phosphodiesterase 6A', 'Phosphodiesterase 6C')",3,hydrolase,phosphodiesterase_pde_6,phosphodiesterase,"3',5'-cyclic-GMP phosphodiesterase",True,False,True,True
CHEMBL2182643,104305,5,2.3.2.27,EC_NUMBER,nuclear other,Other nuclear protein,2,transferase,nuclear_other,nuclear,RING-type E3 ubiquitin transferase,True,True,True,True
CHEMBL2186145,104681,5,"('3.5.1.98', '3.5.1.-', '3.5.1.98', '3.5.1.98', '3.5.1.98', '3.5.1.48', '3.5.1.62')",EC_NUMBER,"('epigenetic regulator  eraser  hdac  hdac class i', 'epigenetic regulator  eraser  hdac  hdac class iib', 'epigenetic regulator  eraser  hdac  hdac class iib', 'epigenetic regulator  eraser  hdac  hdac class iia', 'epigenetic regulator  eraser  hdac  hdac class iv', 'epigenetic regulator  eraser  hdac  hdac class iib', 'epigenetic regulator  eraser  hdac  hdac class iib')","('HDAC class I', 'HDAC class IIb', 'HDAC class IIb', 'HDAC class IIa', 'HDAC class IV', 'HDAC class IIb', 'HDAC class IIb')",3,hydrolase,epigenetic_regulator,epigenetic,"('Histone deacetylase', 'unknown EC number', 'Histone deacetylase', 'Histone deacetylase', 'Histone deacetylase', 'Acetylspermidine deacetylase', 'Acetylputrescine deacetylase')",False,False,True,True
CHEMBL2218974,104961,5,2.7.11.22,EC_NUMBER,enzyme  kinase  protein kinase  cmgc  cdk  cdc2,CMGC protein kinase CDC2 subfamily,2,transferase,kinase_cmgc,kinase,Cyclin-dependent kinase,True,True,True,True
CHEMBL2218975,104961,5,2.7.11.22,EC_NUMBER,enzyme  kinase  protein kinase  cmgc  cdk  cdc2,CMGC protein kinase CDC2 subfamily,2,transferase,kinase_cmgc,kinase,Cyclin-dependent kinase,True,True,True,True
CHEMBL2218998,104775,5,2.7.11.1,EC_NUMBER,enzyme  kinase  protein kinase  other  ck2,Other protein kinase CK2 family,2,transferase,kinase_other,kinase,Non-specific serine/threonine protein kinase,True,True,True,True
CHEMBL2218999,104775,5,2.7.11.1,EC_NUMBER,enzyme  kinase  protein kinase  other  ck2,Other protein kinase CK2 family,2,transferase,kinase_other,kinase,Non-specific serine/threonine protein kinase,True,True,True,True
